,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp,windDirection_x,windDirection_y,windSpeed_knots
0,6,12.222222222222221,67,65,15,2023-11-09 18:00:00+00:00,-1.0,0.0,13
1,9,11.666666666666666,63,66,14,2023-11-09 19:00:00+00:00,-1.0,0.0,12
2,10,11.666666666666666,61,66,14,2023-11-09 20:00:00+00:00,-1.0,0.0,12
3,11,11.666666666666666,63,66,14,2023-11-09 21:00:00+00:00,-1.0,0.0,12
4,12,11.666666666666666,63,65,14,2023-11-09 22:00:00+00:00,-1.0,0.0,12
5,11,12.222222222222221,70,64,13,2023-11-09 23:00:00+00:00,-0.7071067811865476,0.7071067811865476,11
6,10,11.666666666666666,76,61,12,2023-11-10 00:00:00+00:00,-0.7071067811865476,0.7071067811865476,10
7,9,11.666666666666666,78,60,9,2023-11-10 01:00:00+00:00,-0.7071067811865476,0.7071067811865476,8
8,9,11.11111111111111,82,58,9,2023-11-10 02:00:00+00:00,-0.7071067811865476,0.7071067811865476,8
9,9,11.11111111111111,84,57,8,2023-11-10 03:00:00+00:00,-0.7071067811865476,0.7071067811865476,7
10,8,11.11111111111111,86,56,7,2023-11-10 04:00:00+00:00,-0.7071067811865476,0.7071067811865476,6
11,8,10.555555555555555,84,56,6,2023-11-10 05:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
12,11,10.555555555555555,86,55,6,2023-11-10 06:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
13,21,10.0,86,54,5,2023-11-10 07:00:00+00:00,-0.7071067811865476,0.7071067811865476,4
14,40,10.0,86,54,5,2023-11-10 08:00:00+00:00,-0.7071067811865476,0.7071067811865476,4
15,52,9.444444444444445,92,51,3,2023-11-10 09:00:00+00:00,-1.0,0.0,3
16,61,9.444444444444445,98,49,3,2023-11-10 10:00:00+00:00,1.0,0.0,3
17,70,8.88888888888889,100,48,3,2023-11-10 11:00:00+00:00,1.0,0.0,3
18,70,8.88888888888889,100,48,3,2023-11-10 12:00:00+00:00,1.0,0.0,3
19,79,8.88888888888889,100,48,5,2023-11-10 13:00:00+00:00,1.0,0.0,4
20,81,8.88888888888889,100,48,5,2023-11-10 14:00:00+00:00,1.0,0.0,4
21,84,8.88888888888889,100,48,6,2023-11-10 15:00:00+00:00,0.7071067811865476,0.7071067811865476,5
22,82,8.88888888888889,100,48,6,2023-11-10 16:00:00+00:00,0.7071067811865476,0.7071067811865476,5
23,82,8.333333333333334,100,47,6,2023-11-10 17:00:00+00:00,0.7071067811865476,0.7071067811865476,5
24,64,8.333333333333334,100,47,7,2023-11-10 18:00:00+00:00,0.7071067811865476,0.7071067811865476,6
25,61,7.777777777777778,100,46,6,2023-11-10 19:00:00+00:00,0.7071067811865476,0.7071067811865476,5
26,54,7.777777777777778,99,46,7,2023-11-10 20:00:00+00:00,0.7071067811865476,0.7071067811865476,6
27,47,7.222222222222222,99,45,6,2023-11-10 21:00:00+00:00,0.7071067811865476,0.7071067811865476,5
28,41,6.666666666666667,98,45,6,2023-11-10 22:00:00+00:00,0.0,1.0,5
29,36,7.222222222222222,100,45,5,2023-11-10 23:00:00+00:00,0.0,1.0,4
30,32,6.666666666666667,100,44,5,2023-11-11 00:00:00+00:00,0.0,1.0,4
31,37,6.111111111111111,97,44,6,2023-11-11 01:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
32,32,5.555555555555555,95,43,7,2023-11-11 02:00:00+00:00,0.0,1.0,6
33,26,4.444444444444445,94,42,6,2023-11-11 03:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
34,24,5.0,100,41,6,2023-11-11 04:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
35,24,4.444444444444445,100,40,6,2023-11-11 05:00:00+00:00,0.0,1.0,5
36,22,3.888888888888889,97,40,6,2023-11-11 06:00:00+00:00,0.0,1.0,5
37,19,3.3333333333333335,94,39,6,2023-11-11 07:00:00+00:00,0.0,1.0,5
38,17,2.7777777777777777,93,39,6,2023-11-11 08:00:00+00:00,0.0,1.0,5
39,17,2.2222222222222223,91,38,6,2023-11-11 09:00:00+00:00,0.0,1.0,5
40,16,1.6666666666666667,90,38,6,2023-11-11 10:00:00+00:00,0.0,1.0,5
41,14,1.1111111111111112,88,37,5,2023-11-11 11:00:00+00:00,0.0,1.0,4
42,12,0.5555555555555556,86,36,5,2023-11-11 12:00:00+00:00,0.0,1.0,4
43,11,0.0,82,37,5,2023-11-11 13:00:00+00:00,0.0,1.0,4
44,11,0.0,75,39,5,2023-11-11 14:00:00+00:00,0.0,1.0,4
45,11,0.0,69,42,5,2023-11-11 15:00:00+00:00,0.7071067811865476,0.7071067811865476,4
46,11,0.5555555555555556,64,44,6,2023-11-11 16:00:00+00:00,0.7071067811865476,0.7071067811865476,5
