,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp,windDirection_x,windDirection_y
0,3,4.444444444444445,100,40,5,2023-11-11 08:00:00+00:00,-0.7071067811865476,0.7071067811865476
1,3,4.444444444444445,99,40,3,2023-11-11 09:00:00+00:00,-0.7071067811865476,0.7071067811865476
2,4,3.888888888888889,97,40,3,2023-11-11 10:00:00+00:00,-0.7071067811865476,0.7071067811865476
3,4,3.3333333333333335,96,39,3,2023-11-11 11:00:00+00:00,-0.7071067811865476,0.7071067811865476
4,3,1.1111111111111112,88,37,3,2023-11-11 12:00:00+00:00,-0.7071067811865476,0.7071067811865476
5,2,0.0,79,38,3,2023-11-11 13:00:00+00:00,-0.7071067811865476,0.7071067811865476
6,1,-0.5555555555555556,74,38,3,2023-11-11 14:00:00+00:00,0.0,1.0
7,0,-0.5555555555555556,66,41,5,2023-11-11 15:00:00+00:00,-0.7071067811865476,0.7071067811865476
8,0,-0.5555555555555556,58,45,6,2023-11-11 16:00:00+00:00,-0.7071067811865476,0.7071067811865476
9,0,-1.1111111111111112,48,49,6,2023-11-11 17:00:00+00:00,-0.7071067811865476,0.7071067811865476
10,0,-1.6666666666666667,43,51,6,2023-11-11 18:00:00+00:00,-0.7071067811865476,0.7071067811865476
11,3,-2.2222222222222223,41,52,5,2023-11-11 19:00:00+00:00,-0.7071067811865476,0.7071067811865476
12,3,-1.1111111111111112,42,53,5,2023-11-11 20:00:00+00:00,-0.7071067811865476,0.7071067811865476
13,3,-0.5555555555555556,44,52,5,2023-11-11 21:00:00+00:00,0.0,1.0
14,3,-0.5555555555555556,47,51,5,2023-11-11 22:00:00+00:00,0.0,1.0
15,3,-0.5555555555555556,50,49,5,2023-11-11 23:00:00+00:00,0.0,1.0
16,3,-1.1111111111111112,59,44,5,2023-11-12 00:00:00+00:00,0.0,1.0
17,5,0.0,65,43,5,2023-11-12 01:00:00+00:00,0.0,1.0
18,5,-0.5555555555555556,66,42,3,2023-11-12 02:00:00+00:00,0.7071067811865476,0.7071067811865476
19,5,-0.5555555555555556,68,40,3,2023-11-12 03:00:00+00:00,0.7071067811865476,0.7071067811865476
20,5,-1.1111111111111112,70,39,5,2023-11-12 04:00:00+00:00,1.0,0.0
21,5,-1.1111111111111112,71,38,5,2023-11-12 05:00:00+00:00,1.0,0.0
22,5,-1.6666666666666667,74,37,5,2023-11-12 06:00:00+00:00,1.0,0.0
23,20,-1.6666666666666667,75,37,5,2023-11-12 07:00:00+00:00,1.0,0.0
24,20,-1.6666666666666667,75,36,5,2023-11-12 08:00:00+00:00,1.0,0.0
25,20,-1.6666666666666667,76,36,5,2023-11-12 09:00:00+00:00,1.0,0.0
26,20,-1.1111111111111112,78,36,5,2023-11-12 10:00:00+00:00,1.0,0.0
27,21,-1.1111111111111112,80,35,5,2023-11-12 11:00:00+00:00,1.0,0.0
28,22,-1.1111111111111112,83,35,5,2023-11-12 12:00:00+00:00,1.0,0.0
29,23,-0.5555555555555556,84,35,5,2023-11-12 13:00:00+00:00,1.0,0.0
30,21,-0.5555555555555556,82,36,6,2023-11-12 14:00:00+00:00,1.0,0.0
31,20,0.0,78,39,6,2023-11-12 15:00:00+00:00,1.0,0.0
32,18,0.5555555555555556,73,41,6,2023-11-12 16:00:00+00:00,1.0,0.0
33,17,1.1111111111111112,70,43,6,2023-11-12 17:00:00+00:00,0.7071067811865476,-0.7071067811865476
34,18,1.1111111111111112,67,45,5,2023-11-12 18:00:00+00:00,0.7071067811865476,-0.7071067811865476
35,17,1.6666666666666667,65,46,5,2023-11-12 19:00:00+00:00,0.7071067811865476,-0.7071067811865476
36,16,1.6666666666666667,63,47,5,2023-11-12 20:00:00+00:00,0.7071067811865476,-0.7071067811865476
37,16,1.6666666666666667,63,47,5,2023-11-12 21:00:00+00:00,0.7071067811865476,-0.7071067811865476
