,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,NW,0,3.3333333333333335,66,50,24,2023-10-21 17:00:00+00:00
1,NW,0,3.888888888888889,63,52,24,2023-10-21 18:00:00+00:00
2,NW,0,3.888888888888889,59,53,23,2023-10-21 19:00:00+00:00
3,W,0,4.444444444444445,58,54,21,2023-10-21 20:00:00+00:00
4,W,0,4.444444444444445,58,55,18,2023-10-21 21:00:00+00:00
5,W,0,4.444444444444445,59,54,17,2023-10-21 22:00:00+00:00
6,W,1,4.444444444444445,60,53,16,2023-10-21 23:00:00+00:00
7,W,2,3.888888888888889,63,51,16,2023-10-22 00:00:00+00:00
8,W,3,3.888888888888889,71,48,16,2023-10-22 01:00:00+00:00
9,W,2,3.888888888888889,70,48,16,2023-10-22 02:00:00+00:00
10,W,2,3.888888888888889,68,48,15,2023-10-22 03:00:00+00:00
11,W,2,4.444444444444445,70,49,16,2023-10-22 04:00:00+00:00
