,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,SE,0,1.1111111111111112,38,59,6,2023-10-24 23:00:00+00:00
1,SE,0,0.5555555555555556,47,53,6,2023-10-25 00:00:00+00:00
2,SE,0,0.5555555555555556,51,50,6,2023-10-25 01:00:00+00:00
3,SE,0,0.5555555555555556,56,48,6,2023-10-25 02:00:00+00:00
4,E,0,0.5555555555555556,60,46,5,2023-10-25 03:00:00+00:00
5,E,0,1.6666666666666667,66,46,5,2023-10-25 04:00:00+00:00
6,SE,0,1.1111111111111112,66,45,5,2023-10-25 05:00:00+00:00
7,SE,0,0.5555555555555556,63,45,6,2023-10-25 06:00:00+00:00
8,SE,0,0.0,62,44,6,2023-10-25 07:00:00+00:00
9,SE,0,-0.5555555555555556,59,44,6,2023-10-25 08:00:00+00:00
10,S,0,-1.1111111111111112,59,43,7,2023-10-25 09:00:00+00:00
11,S,0,-1.1111111111111112,60,43,6,2023-10-25 10:00:00+00:00
